Region,City,Station,Metric,Threshold,R2,Slope,Intercept,N_Inliers,N_Total,Inlier_Pct (%)
North,Bắc Giang,Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),AQI,ALL,0.014,-2.484,65.599,124,202,61.4
North,Bắc Giang,Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),AQI,U05,0.145,13.362,59.105,92,146,63.0
North,Bắc Giang,Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),AQI,U10,0.212,14.37,59.039,109,181,60.2
North,Bắc Giang,Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),AQI,U15,0.001,-0.873,62.828,119,189,63.0
North,Hà Nam,Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),AQI,ALL,0.037,3.154,58.756,136,226,60.2
North,Hà Nam,Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),AQI,U05,0.057,3.775,58.914,93,159,58.5
North,Hà Nam,Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),AQI,U10,0.078,4.554,58.099,124,207,59.9
North,Hà Nam,Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),AQI,U15,0.252,11.17,56.17,119,216,55.1
North,Hà Nội,556 Nguyễn Văn Cừ (KK),AQI,ALL,0.048,6.077,77.882,155,296,52.4
North,Hà Nội,556 Nguyễn Văn Cừ (KK),AQI,U05,0.586,69.588,75.17,70,110,63.6
North,Hà Nội,556 Nguyễn Văn Cừ (KK),AQI,U10,0.028,-6.422,85.398,95,175,54.3
North,Hà Nội,556 Nguyễn Văn Cừ (KK),AQI,U15,0.007,-2.342,77.145,129,237,54.4
North,Hà Nội,Công viên Nhân Chính - Khuất Duy Tiến (KK),AQI,ALL,0.064,10.441,70.475,133,223,59.6
North,Hà Nội,Công viên Nhân Chính - Khuất Duy Tiến (KK),AQI,U05,0.114,16.473,67.605,71,121,58.7
North,Hà Nội,Công viên Nhân Chính - Khuất Duy Tiến (KK),AQI,U10,0.004,2.382,72.046,108,174,62.1
North,Hà Nội,Công viên Nhân Chính - Khuất Duy Tiến (KK),AQI,U15,0.004,2.297,71.751,118,196,60.2
North,Hà Nội,ĐHBK cổng Parabol đường Giải Phóng (KK),AQI,ALL,0.015,4.734,72.956,142,223,63.7
North,Hà Nội,ĐHBK cổng Parabol đường Giải Phóng (KK),AQI,U05,0.26,22.809,68.201,62,96,64.6
North,Hà Nội,ĐHBK cổng Parabol đường Giải Phóng (KK),AQI,U10,0.232,22.451,69.991,79,130,60.8
North,Hà Nội,ĐHBK cổng Parabol đường Giải Phóng (KK),AQI,U15,0.003,2.21,72.898,100,163,61.3
North,Phú Thọ,đường Hùng Vương - Tp Việt Trì (KK),AQI,ALL,0.639,27.417,60.047,38,59,64.4
North,Phú Thọ,đường Hùng Vương - Tp Việt Trì (KK),AQI,U05,0.0,-0.473,65.725,30,46,65.2
North,Phú Thọ,đường Hùng Vương - Tp Việt Trì (KK),AQI,U10,0.237,12.358,60.503,32,49,65.3
North,Phú Thọ,đường Hùng Vương - Tp Việt Trì (KK),AQI,U15,0.237,12.358,60.503,32,50,64.0
North,Thái nguyên,Đường Hùng Vương - Tp Thái Nguyên (KK),AQI,ALL,0.7,63.165,73.03,50,88,56.8
North,Thái nguyên,Đường Hùng Vương - Tp Thái Nguyên (KK),AQI,U05,0.674,84.952,69.314,41,67,61.2
North,Thái nguyên,Đường Hùng Vương - Tp Thái Nguyên (KK),AQI,U10,0.528,51.303,80.336,44,71,62.0
North,Thái nguyên,Đường Hùng Vương - Tp Thái Nguyên (KK),AQI,U15,0.554,49.75,79.909,46,79,58.2
Central,Quảng Bình,Khu kinh tế Hòn La (KK),AQI,ALL,0.361,3.876,51.181,17,29,58.6
Central,Quảng Bình,Khu kinh tế Hòn La (KK),AQI,U05,0.974,25.928,49.021,9,21,42.9
Central,Quảng Bình,Khu kinh tế Hòn La (KK),AQI,U10,0.237,3.609,52.507,14,24,58.3
Central,Quảng Bình,Khu kinh tế Hòn La (KK),AQI,U15,0.332,3.709,51.123,15,26,57.7
Central,Đà Nẵng,Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),AQI,ALL,0.011,1.249,57.727,60,99,60.6
Central,Đà Nẵng,Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),AQI,U05,0.015,-1.425,59.195,33,58,56.9
Central,Đà Nẵng,Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),AQI,U10,0.005,-0.74,59.993,43,75,57.3
Central,Đà Nẵng,Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),AQI,U15,0.166,-4.57,62.34,46,81,56.8
South,Bình Dương,"số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",AQI,ALL,0.129,3.11,53.046,74,128,57.8
South,Bình Dương,"số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",AQI,U05,0.066,2.466,54.424,50,91,54.9
South,Bình Dương,"số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",AQI,U10,0.055,2.036,53.503,70,120,58.3
South,Bình Dương,"số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",AQI,U15,0.128,3.122,53.045,74,128,57.8
South,HCM,Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),AQI,ALL,0.01,-1.496,58.41,40,68,58.8
South,HCM,Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),AQI,U05,0.08,-5.531,62.377,22,36,61.1
South,HCM,Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),AQI,U10,0.08,-5.531,62.377,22,36,61.1
