Region,City,Station,Metric,Threshold,R2,Slope,Intercept,N_Inliers,N_Total,Inlier_Pct (%)
North,Bắc Giang,Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),PM10,ALL,0.01,1.536,45.79,168,324,51.9
North,Bắc Giang,Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),PM10,U05,0.118,9.248,42.941,121,245,49.4
North,Bắc Giang,Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),PM10,U10,0.033,3.201,44.125,148,295,50.2
North,Bắc Giang,Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),PM10,U15,0.026,2.838,44.185,156,309,50.5
North,Hà Nội,556 Nguyễn Văn Cừ (KK),PM10,ALL,0.078,4.127,52.33,198,378,52.4
North,Hà Nội,556 Nguyễn Văn Cừ (KK),PM10,U05,0.584,34.715,46.208,76,140,54.3
North,Hà Nội,556 Nguyễn Văn Cừ (KK),PM10,U10,0.043,3.899,51.34,121,226,53.5
North,Hà Nội,556 Nguyễn Văn Cừ (KK),PM10,U15,0.045,2.93,52.273,153,302,50.7
North,Hà Nội,Công viên Nhân Chính - Khuất Duy Tiến (KK),PM10,ALL,0.013,1.934,57.126,161,323,49.8
North,Hà Nội,Công viên Nhân Chính - Khuất Duy Tiến (KK),PM10,U05,0.115,8.461,48.183,90,173,52.0
North,Hà Nội,Công viên Nhân Chính - Khuất Duy Tiến (KK),PM10,U10,0.083,6.179,50.038,134,257,52.1
North,Hà Nội,Công viên Nhân Chính - Khuất Duy Tiến (KK),PM10,U15,0.039,3.828,56.076,147,287,51.2
North,Hà Nội,ĐHBK cổng Parabol đường Giải Phóng (KK),PM10,ALL,0.019,-1.726,56.623,139,277,50.2
North,Hà Nội,ĐHBK cổng Parabol đường Giải Phóng (KK),PM10,U05,0.002,0.471,54.299,63,120,52.5
North,Hà Nội,ĐHBK cổng Parabol đường Giải Phóng (KK),PM10,U10,0.001,0.337,55.508,80,160,50.0
North,Hà Nội,ĐHBK cổng Parabol đường Giải Phóng (KK),PM10,U15,0.044,-3.129,56.724,105,200,52.5
