station_name,station_id,tier,n_rows,data_months,pm25_coverage,pm25_mean,zero_pct,lcs_flag,reason,colocated_kk,data_start,data_end
"Hà Nội 79 Văn Tiến Dũng, Tây Tựu (LCS)",32496602817040565458030689725,4,1,0.0,1.0,10.0,0.0,fail,months=0.0,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-11-10 16:00:00,2025-11-10 16:00:00
"Hà Nội 79 Văn Tiến Dũng, Tây Tựu 2 (LCS)",32497696449863912939996438674,4,12,0.0,1.0,42.2,0.0,fail,months=0.0,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2025-10-28 11:00:00
Hà Nội Ban chỉ huy Quân sự xã Phúc Thọ(LCS),32496644961331232165577682920,3,1134,1.6,0.9815,37.35,0.0,fail,months=1.6,,2025-10-28 00:00:00,2025-12-15 15:00:00
Hà Nội Công an xã Hoài Đức (LCS),32496614298366895058622457929,2,4019,5.6,0.994,50.83,0.0,pass,,Hà Nội Công viên Nhân Chính - ,2025-10-28 00:00:00,2026-04-16 20:00:00
"Hà Nội Cổng 3, Bộ Tài nguyên và Môi trường, 10 Tôn Thất Thuyết (LCS)",32497689422265798936416998264,2,4016,5.6,1.0,37.02,0.0,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
"Hà Nội Cổng Trường tiểu học Thịnh Hào, phường Ô Chợ Dừa(LCS)",32496635793299427531930529746,2,4021,5.6,1.0,28.69,0.0,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
"Hà Nội Cột điện cổng phụ Trường tiểu học Phú Lãm, phường Phú Lương (LCS)",32496619672150063767061412126,2,4023,5.6,1.0,52.98,0.0,pass,,Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
"Hà Nội Cục Viễn Thám quốc gia, Bộ Tài nguyên và Môi trường số 79 Văn Tiến Dũng (LCS)",32497698154816065885508975523,2,4008,5.6,1.0,63.0,0.0,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 13:00:00,2026-04-16 20:00:00
"Hà Nội Nhà bảo vệ Cung thể thao tổng hợp Quần Ngựa (phố Văn Cao), Phường Liễu Giai, quận Ba Đình (LCS)",32497693512462826621189636013,2,4013,5.6,1.0,51.91,0.0,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
"Hà Nội Nhà bảo vệ Trường THCS Tây Đằng, xã Quảng Oai(LCS)",32496659849795661849369859648,2,4008,5.6,1.0,20.47,0.0,pass,,,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội Nhà bảo vệ UBND xã Phúc Thịnh (LCS),32497691894129504813496914814,2,4020,5.6,1.0,37.25,0.0002,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK),2025-10-28 00:00:00,2026-04-16 20:00:00
"Hà Nội TT văn hoá thể thao Ninh Hiệp, xã Ninh Hiệp(LCS)",32496653072616049897983672014,2,4003,5.6,1.0,46.47,0.0,pass,,Bắc Ninh Khu liên cơ Thuận Thà; Bắc Ninh UBND xã Xuân Lâm - Th; Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
"Hà Nội Trường mầm non B, Ngọc Hồi(LCS)",32496654659036040237005110994,2,4036,5.6,1.0,60.65,0.0,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
"Hà Nội Trường tiểu học Minh Khai, P. Thanh Nhàn (LCS)",32496631939608265457394360507,2,4020,5.6,1.0,43.23,0.0002,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội Tường rào -Trước cổng bảo vệ UBND phường Long Biên (LCS),32497684349251147003185136481,2,4014,5.6,1.0,55.51,0.0,pass,,Bắc Ninh Khu liên cơ Thuận Thà; Bắc Ninh UBND xã Xuân Lâm - Th; Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
"Hà Nội Tổng cục Biển và Hải đảo, Bộ Tài nguyên và Môi trường - 83 Nguyễn Chí Thanh(LCS)",32496608539373531178394552735,2,4020,5.6,0.994,25.96,0.0005,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội UBND TT Phùng(LCS),32496648232690046548195134965,2,3538,5.0,1.0,61.14,0.0,fail,months=5.0,,2025-10-28 00:00:00,2026-03-28 14:00:00
Hà Nội UBND phường Hoàng Liệt(LCS),32497682732178779599258375030,2,4019,5.6,1.0,28.97,0.0002,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội UBND phường Quan Hoa (cũ)(LCS),32496640019282169742177968358,2,4020,5.6,1.0,48.19,0.0,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội UBND phường Định Công(LCS),32496656699585544717774158962,2,4052,5.6,1.0,43.69,0.0,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội UBND xã Chuyên Mỹ(LCS),32496649796320141677664228873,2,4036,5.6,1.0,31.03,0.0,pass,,,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội UBND xã Chương Dương (LCS),32497686304154672399743049842,2,3974,5.6,1.0,51.05,0.0003,pass,,,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội UBND xã Ngọc Liệp (LCS),32496627929703877431864819302,4,15,0.0,1.0,48.79,0.0,fail,months=0.0,,2025-10-28 00:00:00,2025-10-28 14:00:00
Hà Nội UBND xã Quang Minh (LCS),32497687835845808597395559285,2,4000,5.6,1.0,41.16,0.0,pass,,,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội UBND xã Song Phương(LCS),32496658274959142730665276769,2,4021,5.6,1.0,41.44,0.0,pass,,Hà Nội Công viên Nhân Chính - ,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội UBND xã Thanh Thuỳ (LCS),32497674830731204969056502556,2,3994,5.6,1.0,31.19,0.0,pass,,Hà Nội Công viên Nhân Chính - ,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội UBND xã Trần Phú (LCS),32496634188432693119199539147,2,4019,5.6,1.0,67.4,0.0,pass,,,2025-10-28 00:00:00,2026-04-16 20:00:00
Hà Nội Viện hàn lâm Khoa học và Công nghệ - 18 Hoàng Quốc Việt - Phường Nghĩa Đô(LCS),32496646519546184688745583087,2,4002,5.6,0.9943,21.68,0.0,pass,,Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2026-04-16 20:00:00
"Hà NộiTT Quan trắc môi trường miền Bắc, 556 Nguyễn Văn Cừ (LCS)",32496597338357575566293859742,3,1044,1.4,0.977,61.56,0.0,fail,months=1.4,Bắc Ninh UBND xã Xuân Lâm - Th; Hà Nội 556 Nguyễn Văn Cừ (KK); Hà Nội Công viên Nhân Chính - ; Hà Nội ĐHBK cổng Parabol đường,2025-10-28 00:00:00,2025-12-10 09:00:00
Hưng Yên Cổng bảo vệ  ủy ban xã Như Quỳnh (LCS),32496584622031367061634346762,2,4020,5.6,1.0,15.08,0.003,pass,,Bắc Ninh Khu liên cơ Thuận Thà; Bắc Ninh UBND xã Xuân Lâm - Th; Hà Nội 556 Nguyễn Văn Cừ (KK),2025-10-28 13:00:00,2026-04-16 20:00:00
Hưng Yên Cổng bảo vệ xã Phạm Ngũ Lão (trụ sở cũ xã Phù Ủng) (LCS),32496578935958505757412009876,2,3970,5.6,1.0,25.66,0.0003,pass,,,2025-10-28 13:00:00,2026-04-16 20:00:00
Hưng Yên Nhà văn hoá thôn Lường xã Thượng Hồng (LCS),32496618056220078954907439411,2,3988,5.6,0.9885,41.45,0.0,pass,,,2025-10-28 13:00:00,2026-04-16 20:00:00
Hưng Yên Nhà văn hoá thế thôn Hồng Cầu (LCS),32496599090403802522844462004,2,4011,5.6,0.988,77.69,0.0,pass,,Bắc Ninh Khu liên cơ Thuận Thà; Bắc Ninh UBND xã Xuân Lâm - Th,2025-10-28 13:00:00,2026-04-16 20:00:00
Hưng Yên Tường trước mặt nhà Văn hóa Phong Cốc (LCS),32496615589638980218291071052,2,3985,5.6,0.9887,21.35,0.0008,pass,,,2025-10-28 13:00:00,2026-04-16 20:00:00
