config,stationId,station_name,region,tier_qc,n,r2,rmse,mae,bias,pm25_mean,pred_mean
Global XGBoost,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,2,26296,0.1733293877493377,19.101636686843456,15.04740507231458,8.013989964728069,27.09912530042592,35.113115265153986
Geographic region,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,2,26296,0.198545015428658,18.808055523546493,14.60574031568895,7.19000597334262,27.09912530042592,34.28913127376854
Oracle true-tier,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,2,26296,0.04420860186054276,20.53931189768482,15.291391216977301,-1.5320975166911521,27.09912530042592,25.56702778373477
Global XGBoost,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,1,22113,0.06398847808127772,18.04871303790813,6.7635731156043795,-1.2726188984767532,13.191629068873512,11.91901017039676
Geographic region,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,1,22113,0.02466117681755231,18.423977662770106,6.80815136506988,-3.4156089650233596,13.191629068873512,9.776020103850154
Oracle true-tier,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,1,22113,0.021006787715989406,18.458460774246134,6.6669039452682135,-3.863886733011065,13.191629068873512,9.32774233586245
Global XGBoost,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,3,27159,0.13209765272316776,31.131164131710065,21.95634838742795,-19.349265870863118,48.53746936926985,29.18820349840674
Geographic region,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,3,27159,-0.1474186272306337,35.79487726951795,25.599427217374934,-24.319239342010356,48.53746936926985,24.218230027259505
Oracle true-tier,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,3,27159,0.4860621927357285,23.956050136767455,16.25589269626634,-9.672524626220207,48.53746936926985,38.86494474304965
Global XGBoost,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,0,7967,0.09651343226713283,7.2036571499845365,4.407824539840687,0.17056311433130653,7.6970657336513115,7.867628847982618
Geographic region,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,0,7967,-0.5530448686452665,9.444613417206764,6.50546195309925,4.218563669320681,7.6970657336513115,11.915629402971993
Oracle true-tier,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,0,7967,0.01590689125019973,7.518137772879854,4.683924599230554,0.4553463519217814,7.6970657336513115,8.152412085573093
Global XGBoost,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,1,16513,0.011563628335174103,9.105114593999529,6.908919056398711,2.6624469689053116,10.652525713074546,13.31497268197986
Geographic region,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,1,16513,-0.029718099666736553,9.29330585099327,6.877036187915967,2.28812277802665,10.652525713074546,12.940648491101198
Oracle true-tier,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,1,16513,-0.04373832888477813,9.356358915446915,6.486385111580964,-1.1068906242502283,10.652525713074546,9.54563508882432
Global XGBoost,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,1,11546,-0.16917874579688097,8.147978145759772,5.642040054604005,-4.379663872619495,10.07309263814308,5.693428765523584
Geographic region,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,1,11546,-0.1676419127640847,8.142621308900818,5.608698148839452,-4.434851765558093,10.07309263814308,5.638240872584987
Oracle true-tier,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,1,11546,0.17454999807239258,6.846282033756384,4.758636980517725,-1.9319086488311756,10.07309263814308,8.141183989311903
Global XGBoost,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,2,19801,0.20785977893496843,21.928773534849256,14.041969083212738,-1.556482694905103,27.9495616888036,26.39307899389849
Geographic region,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,2,19801,0.24281117215352543,21.439537311806813,14.500511848259329,2.0139209304795314,27.9495616888036,29.963482619283127
