stationId,name,region,n_hours,pm_mean,n_zero,n_lt05,n_gt300,n_gt500,max_pm,max_flat,cv,n_5x_spike,quality_score
31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hù,South,19979,21.2,0,0,0,0,208.5,2,0.619,0,0
31388839920718814259329251882,Bình Dương số 593 Đại lộ Bình ,South,19488,24.2,0,0,0,0,223.3,2,0.693,0,0
31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Ch,South,20164,14.7,0,0,0,0,77.8,2,0.55,0,0
28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,48.5,0,1,0,0,289.3,1,0.688,0,1
31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Lin,North,19022,43.2,1,0,0,0,283.5,2,0.838,1,2
31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường,North,19837,46.8,2,0,0,0,267.5,2,0.794,0,2
29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường,North,12513,23.4,0,0,0,0,214.7,1,0.914,2,2
29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyê",South,27858,9.1,0,0,0,0,95.2,2,0.703,2,2
31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Ng,South,19860,21.3,2,0,0,0,119.6,2,0.586,0,2
31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH s,Central,19931,23.6,1,6,0,0,126.5,2,0.614,0,7
28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp ,North,26296,27.1,0,0,0,0,99.9,2,0.775,8,8
31388836637198369136462150188,Bình Định Khuôn viên Cây xanh ,Central,19595,18.5,9,2,0,0,88.3,2,0.655,0,11
31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Q,North,19743,39.2,9,2,0,0,232.7,6,0.771,1,12
31388868531618872623864101418,Hải Dương UBND TP. Hải Dương -,North,19834,37.6,2,0,1,0,323.6,2,0.791,0,12
31390939012620449761949792810,Ninh Thuận Công viên (bến xe c,Central,14295,15.5,0,14,0,0,90.5,2,0.586,0,14
29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia,North,17547,25.4,0,0,1,0,308.5,1,0.771,8,18
31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện T,Central,18977,18.1,1,18,0,0,235.3,2,1.144,10,29
31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. T,North,19607,37.2,3,3,2,0,335.8,2,0.919,3,29
31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,12.1,0,2,0,0,235.4,4,1.119,28,30
31390908889087377344742439468,Hà Nội Công viên Nhân Chính - ,North,19443,36.9,22,1,0,0,168.9,21,0.636,0,34
29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Du",South,16496,5.7,0,12,0,0,254.6,16,0.868,18,36
31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình T,South,19156,22.6,23,1,0,0,224.4,21,0.605,1,36
31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghi,Central,18801,27.4,2,26,0,0,246.0,1,0.909,8,36
29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triề,North,15122,9.2,6,46,0,0,102.4,6,0.9,1,53
28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK,North,16539,10.6,0,54,0,0,117.6,2,0.861,0,54
28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thà,North,19801,27.9,0,0,6,0,411.9,1,0.882,1,61
31651502905690497791503780869,Thái Nguyên Sân vận động Gang ,North,14937,55.2,0,0,7,0,383.8,4,0.799,5,75
29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK,North,14579,7.6,0,224,0,0,199.5,3,1.175,13,237
28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,13.2,0,3,22,0,475.6,3,1.414,42,265
29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (,North,16394,9.5,0,247,0,0,147.8,4,1.345,21,268
28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Th,North,13609,52.2,0,0,31,0,434.2,1,0.871,5,315
29518839738601389925132404147,Quảng Ninh Trung tâm văn hóa t,North,17297,7.0,0,368,0,0,160.5,2,1.049,4,372
31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vư,Central,19205,19.9,191,19,0,0,217.8,189,0.711,6,395
28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - ,North,9022,6.9,0,836,1,0,386.4,2,1.093,2,848
29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện T",North,21093,15.5,0,1287,9,0,413.7,2,1.325,11,1388
29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku,Central,17840,10.9,0,1763,0,0,177.3,2,1.245,50,1813
29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK,South,21029,10.9,0,2394,0,0,122.8,2,0.823,16,2410
31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,6.2,1602,1113,0,0,224.1,185,1.879,54,2944
30991938797551443885460120607,Sóc Trăng Sở TNMT - 16 Hùng Vư,South,12613,6.7,472,2912,0,0,189.2,23,1.513,59,3456
28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than ,North,17893,6.6,100,5084,0,0,71.9,61,1.155,21,5256
