feature,pct_nan,mean,std,min_val,max_val,n_impossible,n_5std,n_zero
PBLH,0.0,466.48,354.91,10.0,3055.0,0,267,0
VC,0.0,5238.47,5661.0,0.0,127993.16,0,1591,297
Temperature_final,0.0,25.88,4.99,0.0,47.24,0,468,97
Humidity_final,0.0,75.03,17.18,0.0,100.0,0,0,7501
Pressure_final,0.0,1001.24,29.71,844.96,1100.0,1021,6231,0
wind_u,0.0,2.77,7.43,-59.04,41.58,856,57,297
wind_v,0.0,-0.4,7.56,-52.38,56.52,288,33,297
WS_local,11.1,1.06,1.09,0.0,48.4,0,2427,31833
dT_6h,0.0,0.0,3.23,-31.66,33.1,159,371,1454
dRH_6h,0.0,0.01,14.44,-100.0,100.0,679,383,8231
rain_days_7d,0.0,3.6,2.52,0.0,7.0,0,0,125866
rain_sum_48h,0.0,10.92,25.18,0.0,548.8,69,4840,248791
consecutive_dry_days,0.0,3.68,7.63,0.0,74.0,0,6097,374993
hrs_since_rain,0.4,101.2,202.3,0.0,2663.0,0,5488,99968
RH_factor,0.0,0.41,0.18,0.06,1.0,0,0,0
