variant,n_stations,n_rows,pooled_r2,pooled_rmse,mean_stn_r2,median_stn_r2,pos_r2,mean_daily_r2,mean_abs_err,flips,h2nh,nh2h
1_raw_xgb,46,183276,0.2749041073389469,29.618214927126164,0.09493827951654658,0.15709682150687143,29,-0.02148677500768123,13.841954082733297,28,14,5
2_raw_shift_a45,46,183276,0.34789667397841406,28.08790615448935,0.1635496441123566,0.2158348390407671,35,0.0846106883548595,11.630235270092125,26,13,5
3_raw_guarded,46,183276,0.37791580747741893,27.4337856291993,0.1389020662257132,0.2666678285524021,33,0.04576503099778013,10.892946483508073,19,2,10
4_corrected_raw,46,183276,0.17702087763825303,31.554083232727216,0.021452842236643545,0.15476550230099717,30,-0.1010401347229969,14.855356440030336,36,26,0
5_corr_shift_a45,46,183276,0.2600821928789978,29.91940120156927,0.08784026170407232,0.19695166933386926,32,0.0026973570601480958,12.113847492573125,31,22,1
6_corr_guarded,46,183276,0.291553238717997,29.276204179949218,0.05830078009799467,0.23594777604459305,30,-0.04324895450350945,11.232902254281214,19,2,10
7_blend_s45_b50,46,183276,0.31875850163954145,28.70857959023833,0.14568660909185946,0.2304973262211349,34,0.06656120032557496,11.677385738156676,25,12,5
8_blend_guarded,46,183276,0.34552318624567957,28.1389760893864,0.12031367978495329,0.2965110999889231,32,0.02651959131087796,11.122808645237217,19,2,10
9_blend_s30_b50,46,183276,0.29921650121515564,29.117433433232268,0.13285174650262963,0.21109986780580864,34,0.04615980472565694,12.303555367472415,28,15,5
10_blend_s55_b50,46,183276,0.3300190603385801,28.470322164665138,0.15130690452303422,0.2461774515963972,35,0.07565370345529905,11.349521922729055,22,10,5
11_blend_s45_b30,46,183276,0.3339583522983497,28.386500187376402,0.1576298226820783,0.22716968371537194,35,0.07927872119017933,11.609717676008836,25,12,5
12_blend_s45_b70,46,183276,0.29883254955222005,29.125408903629747,0.12734606496821352,0.23715150056945006,33,0.046513381684706555,11.832883272670612,26,13,5
