feature,gain,rank
PM25_nn_idw,400155.46875,1
PM25_nn_mean,138799.0625,2
month_cos,78816.171875,3
AOT_outer_mean,59037.9765625,4
dist_nn4,54214.55078125,5
dist_nn5,53555.953125,6
PM25_nn2,52435.33203125,7
dist_nn2,50281.265625,8
PM25_nn1,46880.44921875,9
AOT_valid_count,46546.08203125,10
dist_nn1,38502.609375,11
dist_nn3,34674.7109375,12
AOT_mean,30580.755859375,13
day_of_year_cos,29669.62109375,14
PM25_nn4,29186.61328125,15
month_sin,29064.08984375,16
wind_u_local,26059.515625,17
wind_dir_sin_local,21249.064453125,18
PM25_nn3,20777.00390625,19
rain_sum_48h,20767.3359375,20
hours_since_valid_AOT,18475.119140625,21
WS_local,17877.775390625,22
Pressure_final,17719.31640625,23
VC,17459.1875,24
RH_factor,16961.861328125,25
PM25_nn5,16343.119140625,26
day_of_year_sin,15878.669921875,27
wind_dir_cos_local,15287.1396484375,28
consecutive_dry_days,14720.9111328125,29
AOT_spatial_std,14555.703125,30
PBLH,14032.8583984375,31
hrs_since_rain,13766.1015625,32
dRH_6h,13692.1640625,33
Temperature_final,13572.291015625,34
rain_days_7d,13332.19921875,35
AOT_local_vs_regional,12859.2998046875,36
dT_6h,12673.86328125,37
rain_sum_24h,12315.7666015625,38
AOT_rolling_mean_24h,11014.2197265625,39
Humidity_final,10657.44140625,40
AOT_ffill_48h,10527.37109375,41
AOD_physics,10426.9345703125,42
AOT_grad_mag,10370.513671875,43
AOT_grad_ns,10316.11328125,44
wind_v_local,9828.49609375,45
AE,9671.126953125,46
wind_v,9631.6513671875,47
wind_dir_cos,9269.740234375,48
hour_sin,9268.4130859375,49
SSA,8565.4384765625,50
dWS_6h,8478.65234375,51
AOT_inner_mean,8460.3291015625,52
AOT_rolling_mean_6h,8431.705078125,53
wind_u,8185.1689453125,54
hour_cos,7434.26318359375,55
RF,7089.4482421875,56
dP_6h,6933.9052734375,57
AOT_lag_1h,6900.970703125,58
AOT_grad_ew,6818.43505859375,59
wind_dir_sin,6219.6923828125,60
AOT_grad_dir,6079.84228515625,61
AOT_lag_3h,6048.59716796875,62
AOT_lag_6h,5961.46826171875,63
precip_mm,5400.88916015625,64
Uncertainty,5291.146484375,65
AOT,4980.55126953125,66
