station_id,station_name,region,kfold_r2,loso_r2,gap,pm25_mean,nn1_km
31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,0.5685,-1.335,1.9035,6.2,9.0
29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,0.3382,-1.5549,1.8931,5.7,4.0
29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,0.6179,-0.6991,1.317,7.0,7.0
28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,0.7511,-0.4438,1.1949,27.1,57.0
29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,0.5057,-0.6345,1.1402,9.2,22.0
28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,0.7544,-0.3357,1.0901,27.9,2.0
29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,0.7959,-0.2515,1.0474,23.4,18.0
30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,0.4581,-0.5035,0.9616,6.7,57.0
31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,0.6713,-0.2252,0.8965,18.1,74.0
29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,0.6989,-0.186,0.8849,25.4,17.0
29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,0.4359,-0.4196,0.8555,10.9,33.0
28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,0.377,-0.4785,0.8555,6.9,7.0
28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,0.7489,-0.0285,0.7774,52.2,2.0
31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,0.5648,-0.1164,0.6812,18.5,3.0
29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,0.5466,-0.1226,0.6692,15.5,18.0
28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,0.3004,-0.3612,0.6616,13.2,6.0
29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,0.5492,-0.0526,0.6018,9.1,4.0
31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,0.3972,-0.1248,0.522,15.5,74.0
31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,0.7553,0.2878,0.4675,55.2,44.0
29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,0.4354,-0.0273,0.4627,10.9,130.0
31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,0.5838,0.1215,0.4623,23.6,6.0
28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,0.5963,0.1467,0.4496,6.6,10.0
31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,0.4669,0.0197,0.4472,12.1,3.0
31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,0.8606,0.4148,0.4458,43.2,20.0
28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,0.5042,0.0614,0.4428,10.6,10.0
29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,0.367,-0.0728,0.4398,7.6,10.0
29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,0.6779,0.3115,0.3664,9.5,10.0
31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,0.4547,0.0911,0.3636,14.7,65.0
31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,0.4736,0.1273,0.3463,27.4,60.0
31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,0.7817,0.5066,0.2751,37.2,18.0
31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,0.4028,0.1388,0.264,19.9,57.0
31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,0.6863,0.4356,0.2507,21.3,8.0
31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,0.8328,0.5904,0.2424,37.6,17.0
28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,0.8162,0.5897,0.2265,48.5,6.0
31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,0.4693,0.2623,0.207,21.2,41.0
31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,0.5339,0.3564,0.1775,24.2,24.0
31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,0.6844,0.5127,0.1717,22.6,8.0
31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,0.9024,0.7593,0.1431,46.8,5.0
31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,0.8519,0.711,0.1409,36.9,5.0
31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,0.847,0.7393,0.1077,39.2,20.0
