station_id,station_name,region,n_rows,r2_abs,r2_anom,rmse_abs,mae_abs,nn_dist_km
29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-4.5334,-1.6423,19.56,15.09,21.9
29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-2.3618,-1.9239,16.47,14.21,33.2
29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-2.0693,-2.1701,8.7,7.19,4.4
29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-1.9175,-0.5138,35.03,26.65,18.0
31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-1.5984,-1.2432,18.9,16.21,8.7
31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-1.1214,-1.2195,11.75,9.72,65.3
29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.6858,-0.2478,8.34,6.27,4.4
28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.6019,-0.9081,26.59,21.61,56.8
28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-0.5821,-0.5921,9.42,6.42,7.3
28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.5734,-0.5671,11.49,8.38,10.4
30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.4752,-0.4785,12.32,9.11,57.2
29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.4728,-0.3751,16.5,12.83,130.5
28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-0.3571,-0.2645,8.9,6.77,9.5
29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.286,-0.1108,10.15,5.33,9.5
29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.203,-0.2846,23.5,19.05,18.3
31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,-0.196,0.0467,9.93,7.63,74.3
29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.1792,-0.1642,7.92,5.6,7.3
31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.1474,-0.3689,15.53,11.64,6.3
31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.0885,-0.1591,26.0,15.83,59.7
31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.0475,0.0696,12.38,9.26,2.6
28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0216,0.0423,45.92,30.63,1.8
28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-0.0168,-0.0054,24.84,19.7,1.8
28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,0.0216,-0.0473,18.45,8.9,6.3
31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,0.0268,-0.1194,13.32,9.7,2.6
29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.0283,-0.0109,12.58,7.69,10.4
31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.0373,-0.0783,13.86,9.89,56.8
31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.1232,-0.1376,12.27,8.57,40.7
31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,0.1571,-0.0615,40.49,25.27,44.4
31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.1801,0.035,15.19,10.28,23.5
31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.1814,0.0755,26.93,18.2,17.1
31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.2342,0.1364,18.1,10.82,74.3
29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.2466,0.1518,17.01,11.7,17.1
31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.3393,0.0923,11.1,8.19,7.6
31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.3438,0.139,10.13,7.62,7.6
31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.3536,0.1815,18.87,15.56,4.9
31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.4873,0.3753,26.59,18.65,4.9
28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.5047,0.3768,23.52,16.11,6.5
31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.5158,0.3679,23.77,15.6,18.0
