station_id,station_name,region,n_rows,r2,r2_anom,rmse,mae
29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-7.3064,-1.7632,18.5,15.75
30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-4.9026,-3.2773,24.65,21.58
29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-3.7652,-0.353,10.84,8.7
29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-2.656,-1.4596,15.9,12.47
31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,-2.32,-2.3849,24.88,20.76
28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-2.0132,-1.3707,15.89,12.39
31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,-1.8368,-1.7023,21.07,17.02
31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-1.7714,-0.6474,13.43,10.47
29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-1.3628,-0.2735,13.76,10.04
29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.1871,-0.3078,13.28,10.33
29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.8521,-0.3823,18.51,13.74
29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.7854,-0.3608,9.75,7.69
28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-0.7326,0.2898,10.06,7.46
28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-0.6139,0.2022,9.52,6.47
31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.5492,-0.6054,31.02,23.12
31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,-0.4782,0.3457,11.04,8.43
28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.4614,-0.4539,22.55,15.23
31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.446,0.0314,14.54,10.84
29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,-0.4251,-0.6953,23.39,18.44
31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-0.418,0.1638,13.96,9.67
31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,-0.3326,-1.1965,34.89,25.97
31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,-0.2978,-0.9612,41.23,30.15
31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.161,-0.093,15.62,11.73
31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,-0.0829,-1.0682,24.43,18.96
29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,-0.081,-0.3045,13.27,9.96
29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.0692,0.077,21.21,12.0
31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,-0.0553,0.0198,17.24,11.97
28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0368,-0.1669,46.26,30.08
29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.0138,-0.0793,21.57,15.08
31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,-0.0101,0.1455,14.2,10.21
28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,0.0192,-0.0562,24.4,15.03
