config,station_id,station_name,region,n_rows,r2,rmse,mae
K1,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,0.1648,19.2,14.46
K1,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.1547,20.05,11.17
K1,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.2068,29.76,21.34
K1,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-1.9964,12.97,8.49
K1,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.026,9.27,6.49
K1,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-1.0531,10.95,8.76
K1,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-2.4656,45.87,33.89
K1,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,0.1711,41.36,25.94
K1,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.4214,7.65,5.77
K1,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-3.7549,10.83,9.56
K1,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.128,22.75,17.01
K1,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.3345,15.98,10.85
K1,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-1.1956,30.39,18.38
K1,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.3956,8.62,7.11
K1,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.3542,10.42,7.15
K1,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.3011,10.67,7.67
K1,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.7408,13.76,10.27
K1,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.116,14.37,10.2
K1,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.4826,14.15,11.18
K1,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.2479,11.34,8.0
K1,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.0252,12.25,8.72
K1,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.107,15.86,10.7
K1,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,0.0097,14.43,10.54
