config,station_id,station_name,region,n_rows,r2,rmse,mae,acag_annual,acag_vs_actual
A1,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.4346,25.16,19.7,37.49,10.39
A1,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.3062,21.32,14.51,20.19,7.0
A1,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.5826,21.59,15.0,37.84,-10.7
A1,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-0.3852,8.82,6.05,19.93,13.07
A1,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.16,9.86,6.63,37.03,26.39
A1,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,0.123,7.16,5.5,20.76,14.15
A1,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-0.4936,30.11,21.54,36.53,8.58
A1,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0453,46.45,29.09,36.53,-15.66
A1,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.1399,6.85,4.21,15.17,6.04
A1,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-1.3912,7.68,6.09,17.54,11.82
A1,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.286,24.29,15.24,35.48,12.04
A1,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,-0.3076,22.4,16.28,34.21,8.8
A1,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.1364,21.87,12.53,24.35,8.87
A1,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-1.1864,10.79,9.59,21.01,14.06
A1,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.1453,9.58,4.92,21.72,14.1
A1,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.2761,10.86,6.38,24.8,15.31
A1,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.4033,12.89,9.8,28.52,19.28
A1,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,0.027,13.41,8.31,18.77,7.84
A1,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-0.0399,9.16,6.77,24.72,13.8
A1,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.1852,11.05,8.16,21.5,14.79
A1,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.1094,12.74,9.03,18.47,-0.0
A1,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.3197,13.84,9.93,28.38,4.16
A1,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,0.1633,13.26,9.6,22.18,-1.42
A1,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.5794,19.3,12.0,33.03,-4.59
A1,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.74,15.41,10.19,31.72,-7.46
A1,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.7603,18.18,13.06,37.84,-8.94
A1,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.7223,12.37,8.91,41.27,4.34
A1,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.424,9.49,7.54,34.93,13.59
A1,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.4737,9.91,6.82,34.69,12.11
A1,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.363,28.88,19.96,32.28,-10.91
A1,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,-0.1717,22.38,18.99,19.79,1.7
A1,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.2296,11.51,7.58,24.41,3.24
A1,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,-0.1897,9.91,8.1,22.48,6.99
A1,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.0978,13.42,9.24,20.42,0.56
A1,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,0.0912,23.76,14.31,18.25,-9.15
A1,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.4991,24.18,15.76,28.7,-8.48
A1,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-0.0197,8.15,5.95,21.71,7.04
A1,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,0.0236,13.35,9.01,18.47,6.4
A1,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-1.3904,18.13,15.57,21.45,15.2
A1,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,0.2897,37.17,24.16,31.52,-23.69
A2,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.8152,28.31,23.81,37.49,10.39
A2,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,0.0009,18.65,9.73,20.19,7.0
A2,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.4106,25.65,18.09,37.84,-10.7
A2,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-3.1916,15.34,10.8,19.93,13.07
A2,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.4899,11.18,8.73,37.03,26.39
A2,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-0.3156,8.77,6.6,20.76,14.15
