config,station_id,station_name,region,n_rows,r2,rmse,mae,stage1_baseline,stage1_error
T1,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.6923,27.33,23.41,39.43,12.33
T1,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,0.0133,18.53,9.1,15.61,2.42
T1,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.4183,25.49,18.45,42.33,-6.21
T1,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-3.1968,15.35,11.69,15.5,8.64
T1,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.859,12.48,10.0,16.52,5.88
T1,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-1.9365,13.1,10.86,4.71,-1.9
T1,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-1.9266,42.15,30.64,35.62,7.67
T1,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0522,46.61,30.19,29.28,-22.91
T1,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-4.887,15.58,14.0,-3.4,-12.53
T1,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-1.4625,7.79,6.03,1.73,-3.99
T1,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.0542,20.83,16.33,34.82,11.38
T1,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.1643,17.91,11.75,20.42,-4.98
T1,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.9735,28.81,16.95,21.23,5.75
T1,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-1.1533,10.71,8.29,5.6,-1.36
T1,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-1.0473,12.81,9.21,2.93,-4.69
T1,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,-1.358,19.6,16.98,9.92,0.43
T1,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-0.9148,11.5,8.2,17.82,8.59
T1,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,0.0273,13.41,8.25,12.78,1.86
T1,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.7633,14.93,12.61,19.82,8.9
T1,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.06,10.45,6.06,8.26,1.55
T1,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,0.0676,11.68,8.97,19.78,1.31
T1,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.077,16.12,10.83,13.27,-10.95
T1,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.7432,19.14,14.96,16.22,-7.38
T1,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.6514,17.58,11.64,33.34,-4.28
T1,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.7114,16.24,11.62,36.44,-2.74
T1,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.5542,24.79,19.55,46.85,0.08
T1,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.4789,16.95,12.09,43.11,6.17
T1,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.4214,9.51,7.42,24.06,2.72
T1,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.3853,10.71,7.76,21.63,-0.94
T1,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.75,18.09,13.02,40.86,-2.33
T1,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.2413,18.01,13.15,18.13,0.05
T1,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,-0.0358,13.34,9.5,21.68,0.51
T1,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,0.1052,8.59,6.69,18.5,3.01
T1,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.0241,13.95,9.96,15.64,-4.23
T1,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,0.0637,24.11,14.91,21.43,-5.98
T1,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.4424,25.51,17.72,34.5,-2.68
T1,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,0.282,6.84,5.02,15.31,0.64
T1,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-0.0125,13.59,9.52,19.31,7.24
T1,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-1.067,16.86,12.04,19.81,13.57
T1,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.0125,44.38,27.27,33.65,-21.56
T2,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.9042,28.99,22.97,39.43,12.33
T2,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.1386,19.91,12.41,15.61,2.42
T2,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.5135,23.31,16.55,42.33,-6.21
T2,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-1.484,11.81,9.43,15.5,8.64
T2,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.0693,9.47,6.35,16.52,5.88
T2,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,0.1258,7.15,5.36,4.71,-1.9
T2,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-0.1535,26.46,19.5,35.62,7.67
T2,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0526,46.61,29.25,29.28,-22.91
T2,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.1497,6.88,4.15,-3.4,-12.53
