config,station_id,station_name,region,n_rows,r2,rmse,mae,baseline_full,baseline_sat,stage1_err_full,stage1_err_sat
V1,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.8893,28.88,22.89,37.69,36.42,10.59,9.33
V1,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.1386,19.91,12.41,17.93,17.62,4.74,4.43
V1,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.4534,24.71,17.25,46.61,35.85,-1.93,-12.69
V1,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-2.5651,14.15,12.04,19.22,14.56,12.36,7.7
V1,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.0693,9.47,6.35,17.61,26.07,6.97,15.43
V1,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,0.1258,7.15,5.36,0.37,4.86,-6.25,-1.75
V1,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-0.1535,26.46,19.5,34.36,34.43,6.41,6.48
V1,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0526,46.61,29.25,34.61,32.92,-17.58,-19.27
V1,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.1497,6.88,4.15,0.59,7.7,-8.54,-1.43
V1,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-1.6074,8.02,6.5,11.29,5.84,5.57,0.12
V1,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.3547,17.21,11.26,34.16,31.71,10.72,8.27
V1,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.1298,18.28,13.16,41.77,29.73,16.37,4.32
V1,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.132,21.82,14.08,18.71,16.37,3.23,0.89
V1,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,0.2163,6.46,4.85,8.08,13.09,1.12,6.14
V1,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.1299,9.52,4.59,2.19,8.93,-5.43,1.32
V1,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.2465,11.08,6.31,9.89,19.51,0.4,10.02
V1,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.4731,13.07,10.17,23.36,28.05,14.12,18.82
V1,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.0372,13.85,9.05,12.75,14.18,1.83,3.26
V1,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-0.2729,10.13,8.12,17.1,24.99,6.18,14.07
V1,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,0.0616,9.83,5.76,2.41,10.18,-4.3,3.47
V1,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,0.0247,11.94,8.53,13.43,7.61,-5.04,-10.86
V1,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.2622,14.41,9.59,15.66,23.83,-8.56,-0.38
V1,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,0.2272,12.74,9.21,22.56,14.4,-1.04,-9.2
V1,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.429,22.49,13.38,32.5,35.62,-5.13,-2.0
V1,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.6075,18.94,11.82,34.19,32.28,-4.99,-6.9
V1,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.7366,19.06,13.09,43.48,37.22,-3.3,-9.55
V1,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.3703,18.63,12.51,41.15,38.87,4.22,1.93
V1,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.4788,9.03,6.67,16.7,24.26,-4.64,2.91
V1,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.4902,9.75,6.69,19.04,24.01,-3.53,1.44
V1,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.763,17.62,11.83,40.98,35.66,-2.21,-7.53
V1,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,-0.0914,21.6,17.8,22.04,17.07,3.96,-1.01
V1,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.3663,10.44,7.11,20.22,18.96,-0.95,-2.21
V1,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,0.0667,8.77,6.5,13.58,13.13,-1.91,-2.36
V1,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.2631,12.13,8.57,19.36,22.54,-0.5,2.67
V1,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.0487,25.52,14.94,16.72,19.59,-10.69,-7.82
V1,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.3609,27.31,16.94,35.42,33.64,-1.76,-3.55
V1,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,0.1207,7.57,5.51,10.42,14.07,-4.25,-0.6
V1,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,0.0962,12.84,8.42,12.22,3.95,0.15,-8.12
V1,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-1.3742,18.07,15.81,18.49,15.35,12.25,9.11
V1,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,0.2289,38.73,23.6,33.56,33.16,-21.65,-22.05
V2,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,0.1276,19.62,16.45,37.69,36.42,10.59,9.33
V2,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.1386,19.91,12.41,17.93,17.62,4.74,4.43
V2,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.538,22.71,15.83,46.61,35.85,-1.93,-12.69
V2,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-1.1024,10.86,8.27,19.22,14.56,12.36,7.7
V2,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.0482,9.37,7.02,17.61,26.07,6.97,15.43
V2,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,0.1258,7.15,5.36,0.37,4.86,-6.25,-1.75
V2,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-0.1535,26.46,19.5,34.36,34.43,6.41,6.48
V2,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0526,46.61,29.25,34.61,32.92,-17.58,-19.27
V2,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.1147,6.78,4.05,0.59,7.7,-8.54,-1.43
V2,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-0.65,6.38,4.92,11.29,5.84,5.57,0.12
V2,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.3547,17.21,11.26,34.16,31.71,10.72,8.27
V2,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.2041,17.48,12.09,41.77,29.73,16.37,4.32
V2,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.1158,21.67,13.31,18.71,16.37,3.23,0.89
V2,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.0101,7.33,6.02,8.08,13.09,1.12,6.14
V2,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.0835,9.32,4.35,2.19,8.93,-5.43,1.32
V2,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.3041,10.65,7.51,9.89,19.51,0.4,10.02
V2,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.8277,13.98,11.04,23.36,28.05,14.12,18.82
V2,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.0427,13.89,9.12,12.75,14.18,1.83,3.26
V2,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.1864,13.28,11.0,17.1,24.99,6.18,14.07
V2,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,0.0596,9.84,6.1,2.41,10.18,-4.3,3.47
V2,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.4548,14.59,10.53,13.43,7.61,-5.04,-10.86
V2,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.3473,13.56,9.88,15.66,23.83,-8.56,-0.38
