config,station_id,station_name,region,n_rows,cluster,r2,rmse,mae,baseline_sat,n_train_stations
C1,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,3,0.0235,20.76,16.49,36.42,14.0
C1,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,2,-0.3709,21.84,15.42,17.62,10.0
C1,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,3,0.5318,22.87,15.91,35.85,14.0
C1,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,2,-1.0645,10.77,7.47,14.56,10.0
C1,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,3,0.0355,8.99,6.58,26.07,14.0
C1,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,2,0.0217,7.56,5.6,4.86,10.0
C1,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,3,0.0534,23.97,17.06,34.43,14.0
C1,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,3,-0.0365,46.26,29.07,32.92,14.0
C1,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,1,-0.0519,6.58,4.36,7.7,5.0
C1,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,1,-1.5187,7.88,6.56,5.84,5.0
C1,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,3,0.3778,16.9,11.29,31.71,14.0
C1,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,3,0.2188,17.32,11.6,29.73,14.0
C1,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,2,-0.0253,20.77,11.39,16.37,10.0
C1,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,2,-0.0186,7.36,5.38,13.09,10.0
C1,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,2,-0.1259,9.5,4.87,8.93,10.0
C1,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,2,-0.1619,13.76,9.41,19.51,10.0
C1,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,3,-2.0513,14.52,11.38,28.05,14.0
C1,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,4,-1.382,20.99,15.39,14.18,1.0
C1,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,0,-1.0327,12.81,10.27,24.99,5.0
C1,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,0,-0.6504,13.04,10.23,10.18,5.0
C1,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,1,0.1066,11.43,8.1,7.61,5.0
C1,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0,0.3202,13.83,9.37,23.83,5.0
C1,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,2,-0.4661,17.55,13.49,14.4,10.0
C1,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,3,0.4115,22.84,13.68,35.62,14.0
C1,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,3,0.6249,18.51,12.13,32.28,14.0
C1,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,3,0.7332,19.18,13.23,37.22,14.0
C1,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,3,0.3796,18.49,12.35,38.87,14.0
C1,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0,0.5808,8.1,5.91,24.26,5.0
C1,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0,0.6093,8.54,6.08,24.01,5.0
C1,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,3,0.2806,30.69,19.81,35.66,14.0
C1,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,4,0.3324,16.9,10.77,17.07,1.0
C1,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0,-0.1764,14.22,9.92,18.96,5.0
C1,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,1,0.0121,9.03,6.83,13.13,5.0
C1,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,2,-0.0408,14.41,10.18,22.54,10.0
C1,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,2,0.0499,24.29,14.86,19.59,10.0
C1,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,3,0.2725,29.14,17.05,33.64,14.0
C1,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,1,-0.3295,9.3,7.05,14.07,5.0
C1,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,1,0.0067,13.46,9.45,3.95,5.0
C1,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,2,-1.2629,17.64,14.43,15.35,10.0
C1,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,3,0.0394,43.22,26.62,33.16,14.0
C2,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,3,0.158,19.28,16.12,36.42,
C2,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,2,-0.1283,19.82,12.27,17.62,
C2,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,3,0.5839,21.56,14.79,35.85,
C2,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,2,-0.8476,10.18,7.47,14.56,
C2,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,3,-0.1197,9.69,7.36,26.07,
C2,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,2,0.0732,7.36,5.59,4.86,
C2,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,3,-0.1119,25.98,19.23,34.43,
C2,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,3,-0.0472,46.49,29.34,32.92,
C2,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,1,-0.1014,6.74,4.23,7.7,
C2,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,1,-0.4013,5.88,4.33,5.84,
C2,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,3,0.3491,17.28,11.43,31.71,
C2,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,3,0.245,17.02,11.86,29.73,
C2,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,2,-0.139,21.89,13.31,16.37,
C2,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,2,-0.0445,7.46,6.18,13.09,
C2,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,2,-0.092,9.35,4.44,8.93,
C2,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,2,0.2686,10.92,7.78,19.51,
C2,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,3,-1.7736,13.85,10.84,28.05,
C2,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,4,-0.0652,14.03,9.19,14.18,
C2,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,0,-1.2442,13.46,11.03,24.99,
C2,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,0,0.0225,10.03,6.41,10.18,
