Source,ID,Timestamp,Name,Latitude,Longitude,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
gov,28560877461938780203765592307,08/04/2025 14:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.8831,134,134.33387065282443,80.96737065791265,8.6018125,52.5989,8.31978125,5.55468,27.96,71.0,1012.0,3.9
gov,31390912357075263208060500522,08/04/2025 14:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7823,106.7528,95,95.34093538722549,59.55258845085537,,8.45665,,16.50532,35.01,46.0,1009.0,1.54
gov,31390932574706768021562473002,08/04/2025 14:00,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),10.5391,106.4045,89,88.68118554122958,52.501889306272986,29.512183500000003,,,1.95932,29.45,53.0,1009.0,5.84
gov,31390903576425084107499649578,08/04/2025 14:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.8418,151,151.41801918504152,72.31102018278841,,12.9829,9.47221875,2.942,28.0,70.0,1012.0,3.85
gov,31390908889087377344742439468,08/04/2025 14:00,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.7947,107,106.96866082143156,71.10626151168718,12.3749125,4.44125,9.90234375,2.294,28.01,69.0,1012.0,3.68
gov,31388851800421997746903202346,08/04/2025 14:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.1594,57,56.57652147660196,42.67319697043403,16.733454,8.34125,10.8975625,1.41532,29.01,65.0,1012.0,4.12
gov,29195707587706641566224751462,08/04/2025 14:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21.59315,105.8431,173,173.04759163823405,93.745875,5.4624815,,,4.3588000000000005,26.59,70.0,1012.0,2.86
gov,28505268571336961948594948504,08/04/2025 14:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.33847,105.3633,132,131.733765591086,68.70317242557547,,17.0771,44.00415625,10.84752,28.26,63.0,1011.0,4.64
gov,31387251434693138681789561386,08/04/2025 14:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),21.3015,106.22603,127,127.19801969295663,75.22848249511719,30.211662500000003,2.03875,40.82890625,12.384,24.78,73.0,1012.0,4.11
gov,31388883344354363840031242796,08/04/2025 14:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.9165,141,141.0851255382042,,11.088029,6.84775,14.27890625,,26.85,72.0,1012.0,3.32
gov,31388839920718814259329251882,08/04/2025 14:00,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",10.9923,106.6577,76,72.18295141601563,75.86126490478516,,13.3096,,0.91732,35.03,46.0,1009.0,1.54
gov,31390903576425084107499649578,08/04/2025 15:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.8418,153,152.73817439598236,72.82918218939434,,8.31915,9.47221875,2.971,28.0,68.0,1012.0,3.85
gov,28560877461938780203765592307,08/04/2025 15:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.8831,126,125.77278759055332,76.03959246440078,8.210604,62.1743,8.1565,5.54668,27.96,68.0,1012.0,3.9
gov,31390908889087377344742439468,08/04/2025 15:00,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.7947,107,107.29197723277278,69.61108661146251,11.824104,3.1654,14.9138125,2.37468,28.01,68.0,1012.0,3.68
gov,31390912357075263208060500522,08/04/2025 15:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7823,106.7528,96,95.97735363951,59.16243010552112,,7.37585,,16.755000000000003,32.82,62.0,1009.0,2.68
gov,31388851800421997746903202346,08/04/2025 15:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.1594,52,52.22268566989506,40.60055240130962,17.4863835,7.79625,25.510406250000003,1.586,29.01,65.0,1013.0,4.12
gov,29195707587706641566224751462,08/04/2025 15:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21.59315,105.8431,170,170.08297063373254,94.6199625,4.3582325,,,3.5303600000000004,26.62,69.0,1012.0,2.86
gov,28505268571336961948594948504,08/04/2025 15:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.33847,105.3633,125,125.03613455055628,64.64763336140005,,16.2546,58.09374999999999,12.02532,28.26,63.0,1012.0,4.64
gov,31387251434693138681789561386,08/04/2025 15:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),21.3015,106.22603,118,118.4181896475554,69.47531395142933,28.308325,2.04165,41.78959375,11.22,24.71,76.0,1012.0,4.11
gov,31388883344354363840031242796,08/04/2025 15:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.9165,143,143.21990601546486,,11.1301915,7.31835,12.17603125,,26.88,71.0,1012.0,3.32
gov,31390932574706768021562473002,08/04/2025 15:00,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),10.5391,106.4045,83,82.66226298590944,52.33408037902571,28.253633500000003,,,1.5903200000000002,29.46,54.0,1009.0,5.84
gov,31388839920718814259329251882,08/04/2025 15:00,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",10.9923,106.6577,75,65.27511689453124,74.60216818847655,,5.8171,,0.69132,35.03,46.0,1009.0,1.54
gov,31390903576425084107499649578,08/04/2025 16:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.8418,153,152.60171757102432,72.63449246595124,,9.07125,9.47221875,3.0003200000000003,27.0,76.0,1012.0,4.15
gov,28560877461938780203765592307,08/04/2025 16:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.8831,115,114.54466523807524,69.86761785728382,9.5416665,31.5365,7.79921875,5.678920000000001,26.96,75.0,1012.0,4.12
gov,31390908889087377344742439468,08/04/2025 16:00,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.7947,107,107.27032872312218,68.63495042625254,11.812475,2.96625,19.2799375,2.1983200000000003,27.01,74.0,1012.0,4.08
gov,31388851800421997746903202346,08/04/2025 16:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.1594,52,52.31405828478003,43.403038107985736,17.796733500000002,9.42875,15.3256875,1.46168,29.01,65.0,1012.0,4.63
